Date,Open,High,Low,Close,Volume
2025-01-21,3.93,3.9582,3.44,3.52,3094969.0
2025-01-22,3.5,3.9,3.48,3.55,1226684.0
2025-01-23,3.5,3.67,3.36,3.64,469295.0
2025-01-24,3.68,3.68,3.16,3.21,716635.0
2025-01-27,3.12,3.19,2.824,2.86,760044.0
2025-01-28,2.9,2.99,2.82,2.91,319530.0
2025-01-29,2.97,2.97,2.755,2.81,296065.0
2025-01-30,2.9,3.02,2.76,2.92,626160.0
2025-01-31,2.86,2.9399,2.75,2.8,333178.0
2025-02-03,2.76,2.94,2.66,2.84,291712.0
2025-02-04,2.92,3.1,2.84,3.01,301032.0
2025-02-05,3.06,3.12,2.98,3.11,198689.0
2025-02-06,3.12,3.24,3.02,3.15,445888.0
2025-02-07,3.24,3.24,3.07,3.12,226276.0
2025-02-10,3.15,3.2,3.08,3.17,153777.0
2025-02-11,3.17,3.34,3.1,3.18,187212.0
2025-02-12,3.11,3.4,3.1097,3.33,298344.0
2025-02-13,3.41,3.45,3.27,3.41,251207.0
2025-02-14,3.45,3.575,3.3253,3.46,321158.0
2025-02-18,3.58,3.67,3.34,3.42,378785.0
2025-02-19,3.5,3.7395,3.4,3.66,372942.0
2025-02-20,3.65,3.68,3.48,3.65,125061.0
2025-02-21,3.65,3.7,3.381,3.39,239879.0
2025-02-24,3.36,3.366,3.14,3.14,194907.0
2025-02-25,3.15,3.15,2.92,2.99,306921.0
2025-02-26,3.01,3.1,2.96,3.01,104787.0
2025-02-27,3.02,3.1048,2.78,2.8,134386.0
2025-02-28,2.85,2.96,2.75,2.86,128364.0
2025-03-03,2.87,2.9,2.65,2.66,223558.0
2025-03-04,2.65,2.69,2.55,2.6,270021.0
2025-03-05,2.63,2.71,2.56,2.7,106230.0
2025-03-06,2.66,2.73,2.56,2.58,112131.0
2025-03-07,2.55,2.67,2.42,2.56,253200.0
2025-03-10,2.51,2.5295,2.3,2.36,186468.0
2025-03-11,2.36,2.4289,2.3,2.37,125953.0
2025-03-12,2.39,2.48,2.36,2.41,101351.0
2025-03-13,2.44,2.47,2.37,2.39,135807.0
2025-03-14,2.44,2.615,2.44,2.6,117300.0
2025-03-17,2.6,2.76,2.6,2.68,122053.0
2025-03-18,2.65,2.67,2.55,2.56,47645.0
2025-03-19,2.56,2.68,2.56,2.67,52246.0
