Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
48,0,68.8,44.1,70472.47,65472.47,1309.45,18026.66,25.58,3.63,47.5,16,12,16,28,40,2.3,0.6,28.9
49,14,55.1,43.6,6772.81,1772.81,35.46,19699.23,86.31,0.09,0.0,16,12,16,28,40,2.4,0.2,3.0
42,4,69.0,52.6,14873.52,9873.52,197.47,14037.4,76.19,0.7,1.4,16,12,16,28,40,2.4,0.3,11.0
39,3,66.7,55.0,12377.22,7377.22,147.54,12597.68,61.56,0.59,0.9,16,12,16,28,40,2.4,0.4,9.1
39,2,66.7,53.7,12171.68,7171.68,143.43,15207.26,82.54,0.47,0.7,16,12,16,28,40,2.4,0.5,8.9
39,1,66.7,55.3,13895.69,8895.69,177.91,14751.47,80.06,0.6,1.1,16,12,16,28,40,2.4,0.6,10.3
49,17,51.0,40.4,1228.17,-3771.83,-75.44,11138.72,93.22,-0.34,0.3,16,12,16,28,40,2.5,0.2,-12.6
44,9,59.1,46.7,3619.79,-1380.21,-27.6,11115.4,87.62,-0.12,0.0,16,12,16,28,40,2.5,0.3,-3.1
40,5,62.5,52.7,5383.24,383.24,7.66,9083.3,74.96,0.04,0.0,16,12,16,28,40,2.5,0.4,0.7
37,4,59.5,54.0,1934.62,-3065.38,-61.31,10889.33,91.13,-0.28,0.2,16,12,16,28,40,2.5,0.5,-8.7
32,1,50.0,63.5,2052.95,-2947.05,-58.94,10824.53,90.59,-0.27,0.2,16,12,16,28,40,2.5,0.6,-8.2
41,11,58.5,47.8,6217.01,1217.01,24.34,19389.13,82.54,0.06,0.0,16,12,16,28,40,2.6,0.2,2.1
37,7,59.5,53.4,8679.6,3679.6,73.59,27721.84,89.71,0.13,0.1,16,12,16,28,40,2.6,0.3,5.4
35,4,62.9,57.7,6315.79,1315.79,26.32,26152.09,90.49,0.05,0.0,16,12,16,28,40,2.6,0.4,2.3
31,3,58.1,61.6,2922.48,-2077.52,-41.55,18516.22,92.04,-0.11,0.0,16,12,16,28,40,2.6,0.5,-5.0
31,1,58.1,62.9,7051.77,2051.77,41.04,26888.24,87.44,0.08,0.0,16,12,16,28,40,2.6,0.6,3.4
30,11,50.0,68.5,4019.14,-980.86,-19.62,10276.32,84.42,-0.1,0.0,16,12,16,28,40,2.7,0.2,-2.1
27,4,59.3,75.9,18906.5,13906.5,278.13,15240.51,55.54,0.91,2.5,16,12,16,28,40,2.7,0.3,13.6
26,0,65.4,78.5,35822.95,30822.95,616.46,13047.03,36.42,2.36,14.5,16,12,16,28,40,2.7,0.4,20.8
26,0,65.4,78.5,35822.95,30822.95,616.46,13047.03,36.42,2.36,14.5,16,12,16,28,40,2.7,0.5,20.8
26,0,65.4,78.5,35822.95,30822.95,616.46,13047.03,36.42,2.36,14.5,16,12,16,28,40,2.7,0.6,20.8
33,9,57.6,59.8,22551.48,17551.48,351.03,24070.58,61.8,0.73,2.6,16,12,16,28,40,2.8,0.2,15.6
28,6,50.0,73.5,3286.71,-1713.29,-34.27,11058.8,83.61,-0.15,0.1,16,12,16,28,40,2.8,0.3,-3.9
26,2,57.7,77.7,13626.09,8626.09,172.52,17579.13,61.09,0.49,0.8,16,12,16,28,40,2.8,0.4,10.1
24,1,58.3,85.1,15845.41,10845.41,216.91,18428.27,64.04,0.59,1.3,16,12,16,28,40,2.8,0.5,11.7
24,1,58.3,85.8,13432.94,8432.94,168.66,20003.6,69.52,0.42,0.7,16,12,16,28,40,2.8,0.6,10.0
29,14,41.4,58.2,894.32,-4105.68,-82.11,5933.1,90.96,-0.69,0.6,16,12,16,28,40,2.9,0.2,-15.2
25,7,52.0,74.1,1577.84,-3422.16,-68.44,6395.11,86.0,-0.54,0.4,16,12,16,28,40,2.9,0.3,-10.5
18,2,50.0,107.1,2453.5,-2546.5,-50.93,5227.92,80.14,-0.49,0.2,16,12,16,28,40,2.9,0.4,-6.6
18,2,50.0,107.9,1636.24,-3363.76,-67.28,5454.64,83.62,-0.62,0.4,16,12,16,28,40,2.9,0.5,-10.2
18,2,50.0,109.9,1062.25,-3937.75,-78.75,5829.45,89.37,-0.68,0.5,16,12,16,28,40,2.9,0.6,-13.8
26,12,46.2,62.4,3007.42,-1992.58,-39.85,5838.14,75.55,-0.34,0.1,16,12,16,28,40,3.0,0.2,-4.8
22,6,59.1,83.9,4534.39,-465.61,-9.31,6709.74,69.16,-0.07,0.0,16,12,16,28,40,3.0,0.3,-0.9
19,3,63.2,94.6,7132.23,2132.23,42.64,4876.88,46.95,0.44,0.2,16,12,16,28,40,3.0,0.4,3.5
19,3,63.2,93.8,4687.4,-312.6,-6.25,5104.49,74.28,-0.06,0.0,16,12,16,28,40,3.0,0.5,-0.6
18,2,66.7,102.8,5559.48,559.48,11.19,6588.1,75.86,0.08,0.0,16,12,16,28,40,3.0,0.6,1.0
23,11,43.5,73.6,1673.53,-3326.47,-66.53,6055.44,84.58,-0.55,0.4,16,12,16,28,40,3.1,0.2,-10.0
23,7,60.9,76.9,4098.72,-901.28,-18.03,9024.93,76.95,-0.1,0.0,16,12,16,28,40,3.1,0.3,-1.9
19,4,63.2,94.6,4662.62,-337.38,-6.75,8084.79,70.38,-0.04,0.0,16,12,16,28,40,3.1,0.4,-0.7
17,3,58.8,103.6,3685.41,-1314.59,-26.29,6186.37,74.31,-0.21,0.1,16,12,16,28,40,3.1,0.5,-2.9
15,2,66.7,125.4,3365.58,-1634.42,-32.69,10375.26,78.96,-0.16,0.1,16,12,16,28,40,3.1,0.6,-3.7
20,10,45.0,75.0,1622.44,-3377.56,-67.55,4066.56,72.69,-0.83,0.6,16,12,16,28,40,3.2,0.2,-10.2
20,7,60.0,79.6,2678.9,-2321.1,-46.42,7698.35,83.99,-0.3,0.1,16,12,16,28,40,3.2,0.3,-5.8
18,5,55.6,97.1,1528.95,-3471.05,-69.42,8050.0,87.83,-0.43,0.3,16,12,16,28,40,3.2,0.4,-10.8
15,2,46.7,110.1,1558.95,-3441.05,-68.82,7043.6,84.61,-0.49,0.3,16,12,16,28,40,3.2,0.5,-10.6
12,1,41.7,155.7,1454.95,-3545.05,-70.9,4956.13,80.57,-0.72,0.5,16,12,16,28,40,3.2,0.6,-11.2
118,28,67.8,20.4,682.53,-4317.47,-86.35,9640.44,95.96,-0.45,0.4,16,15,16,31,46,1.5,0.2,-17.4
